date,ticker,model_name,horizon,y_pred
2025-09-26,004000,safe_ens_median,1,46084.79517502382
2025-09-26,004020,safe_dl_lstm_v1,1,35328.89447704659
2025-09-26,004020,safe_ens_mean,1,35328.89447704659
2025-09-26,004020,safe_ens_median,1,35328.89447704659
2025-09-26,004170,safe_dl_lstm_v1,1,190052.4879545007
2025-09-26,004170,safe_ens_mean,1,190052.4879545007
2025-09-26,004170,safe_ens_median,1,190052.4879545007
2025-09-26,004370,safe_dl_lstm_v1,1,456918.60032006184
2025-09-26,004370,safe_ens_mean,1,456918.60032006184
2025-09-26,004370,safe_ens_median,1,456918.60032006184
2025-09-26,004490,safe_dl_lstm_v1,1,63788.08503172786
2025-09-26,004490,safe_ens_mean,1,63788.08503172786
2025-09-26,004490,safe_ens_median,1,63788.08503172786
2025-09-26,004990,safe_dl_lstm_v1,1,29017.080232980123
2025-09-26,004990,safe_ens_mean,1,29017.080232980123
2025-09-26,004990,safe_ens_median,1,29017.080232980123
2025-09-26,005250,safe_dl_lstm_v1,1,15981.649887900636
2025-09-26,005250,safe_ens_mean,1,15981.649887900634
2025-09-26,005250,safe_ens_median,1,15981.649887900636
2025-09-26,005300,safe_dl_lstm_v1,1,117265.40492607559
2025-09-26,005300,safe_ens_mean,1,117265.40492607559
2025-09-26,005300,safe_ens_median,1,117265.40492607559
2025-09-26,005380,safe_dl_lstm_v1,1,218626.8360042283
2025-09-26,005380,safe_ens_mean,1,218626.8360042283
2025-09-26,005380,safe_ens_median,1,218626.8360042283
2025-09-26,005420,safe_dl_lstm_v1,1,17047.321296439983
2025-09-26,005420,safe_ens_mean,1,17047.321296439983
2025-09-26,005420,safe_ens_median,1,17047.321296439983
2025-09-26,005490,safe_dl_lstm_v1,1,275524.4675260634
2025-09-26,005490,safe_ens_mean,1,275524.4675260634
2025-09-26,005490,safe_ens_median,1,275524.4675260634
2025-09-26,005830,safe_dl_lstm_v1,1,139012.0683170417
2025-09-26,005830,safe_ens_mean,1,139012.0683170417
2025-09-26,005830,safe_ens_median,1,139012.0683170417
2025-09-26,005850,safe_dl_lstm_v1,1,34938.952273842544
2025-09-26,005850,safe_ens_mean,1,34938.952273842544
2025-09-26,005850,safe_ens_median,1,34938.952273842544
2025-09-26,005930,safe_dl_lstm_v1,1,77425.71456454582
2025-09-26,005930,safe_ens_mean,1,77425.71456454582
2025-09-26,005930,safe_ens_median,1,77425.71456454582
2025-09-26,005940,safe_dl_lstm_v1,1,20116.58155932016
2025-09-26,005940,safe_ens_mean,1,20116.58155932016
2025-09-26,005940,safe_ens_median,1,20116.58155932016
2025-09-26,006040,safe_dl_lstm_v1,1,47579.04820258477
2025-09-26,006040,safe_ens_mean,1,47579.04820258477
2025-09-26,006040,safe_ens_median,1,47579.04820258477
2025-09-26,006260,safe_dl_lstm_v1,1,177393.02965996446
2025-09-26,006260,safe_ens_mean,1,177393.02965996446
2025-09-26,006260,safe_ens_median,1,177393.02965996446
2025-09-26,006280,safe_dl_lstm_v1,1,134801.34275091777
2025-09-26,006280,safe_ens_mean,1,134801.34275091777
2025-09-26,006280,safe_ens_median,1,134801.34275091777
2025-09-26,006360,safe_dl_lstm_v1,1,18601.484391445323
2025-09-26,006360,safe_ens_mean,1,18601.484391445323
2025-09-26,006360,safe_ens_median,1,18601.484391445323
2025-09-26,006400,safe_dl_lstm_v1,1,176427.28301129356
2025-09-26,006400,safe_ens_mean,1,176427.2830112936
2025-09-26,006400,safe_ens_median,1,176427.28301129356
2025-09-26,006650,safe_dl_lstm_v1,1,113897.3941890198
2025-09-26,006650,safe_ens_mean,1,113897.3941890198
2025-09-26,006650,safe_ens_median,1,113897.3941890198
2025-09-26,006800,safe_dl_lstm_v1,1,22918.308604016223
2025-09-26,006800,safe_ens_mean,1,22918.30860401622
2025-09-26,006800,safe_ens_median,1,22918.308604016223
2025-09-26,007070,safe_dl_lstm_v1,1,16646.44037663013
2025-09-26,007070,safe_ens_mean,1,16646.44037663013
2025-09-26,007070,safe_ens_median,1,16646.44037663013
2025-09-26,007310,safe_dl_lstm_v1,1,413973.4183943718
2025-09-26,007310,safe_ens_mean,1,413973.4183943718
2025-09-26,007310,safe_ens_median,1,413973.4183943718
2025-09-26,007340,safe_dl_lstm_v1,1,24134.455063536534
2025-09-26,007340,safe_ens_mean,1,24134.455063536534
2025-09-26,007340,safe_ens_median,1,24134.455063536534
2025-09-26,008730,safe_dl_lstm_v1,1,30516.583657427724
2025-09-26,008730,safe_ens_mean,1,30516.583657427724
2025-09-26,008730,safe_ens_median,1,30516.583657427724
2025-09-26,008770,safe_dl_lstm_v1,1,52244.124372879756
2025-09-26,008770,safe_ens_mean,1,52244.12437287976
2025-09-26,008770,safe_ens_median,1,52244.124372879756
2025-09-26,008930,safe_dl_lstm_v1,1,39509.12936101598
2025-09-26,008930,safe_ens_mean,1,39509.12936101598
2025-09-26,008930,safe_ens_median,1,39509.12936101598
2025-09-26,009150,safe_dl_lstm_v1,1,198009.21426981245
2025-09-26,009150,safe_ens_mean,1,198009.21426981245
2025-09-26,009150,safe_ens_median,1,198009.21426981245
2025-09-26,009240,safe_dl_lstm_v1,1,44987.92953885646
2025-09-26,009240,safe_ens_mean,1,44987.92953885646
2025-09-26,009240,safe_ens_median,1,44987.92953885646
2025-09-26,009420,safe_dl_lstm_v1,1,28852.00395485178
2025-09-26,009420,safe_ens_mean,1,28852.00395485178
2025-09-26,009420,safe_ens_median,1,28852.00395485178
2025-09-26,009540,safe_dl_lstm_v1,1,408435.9128702042
2025-09-26,009540,safe_ens_mean,1,408435.91287020425
2025-09-26,009540,safe_ens_median,1,408435.9128702042
2025-09-26,009830,safe_dl_lstm_v1,1,29088.233599883253
2025-09-26,009830,safe_ens_mean,1,29088.233599883253
2025-09-26,009830,safe_ens_median,1,29088.233599883253
2025-09-26,009970,safe_dl_lstm_v1,1,143238.08110637692
2025-09-26,009970,safe_ens_mean,1,143238.08110637692
2025-09-26,009970,safe_ens_median,1,143238.08110637692
2025-09-26,010060,safe_dl_lstm_v1,1,95558.84199854151
2025-09-26,010060,safe_ens_mean,1,95558.84199854151
2025-09-26,010060,safe_ens_median,1,95558.84199854151
2025-09-26,010120,safe_dl_lstm_v1,1,289531.8054954386
2025-09-26,010120,safe_ens_mean,1,289531.8054954386
2025-09-26,010120,safe_ens_median,1,289531.8054954386
2025-09-26,010130,safe_dl_lstm_v1,1,953567.2779901426
2025-09-26,010130,safe_ens_mean,1,953567.2779901425
2025-09-26,010130,safe_ens_median,1,953567.2779901426
2025-09-26,010140,safe_dl_lstm_v1,1,21468.485195990914
2025-09-26,010140,safe_ens_mean,1,21468.485195990914
2025-09-26,010140,safe_ens_median,1,21468.485195990914
2025-09-26,010620,safe_dl_lstm_v1,1,197372.64967555436
2025-09-26,010620,safe_ens_mean,1,197372.64967555436
2025-09-26,010620,safe_ens_median,1,197372.64967555436
2025-09-26,010950,safe_dl_lstm_v1,1,59960.96205795711
2025-09-26,010950,safe_ens_mean,1,59960.96205795711
2025-09-26,010950,safe_ens_median,1,59960.96205795711
2025-09-26,011070,safe_dl_lstm_v1,1,156088.74326263613
2025-09-26,011070,safe_ens_mean,1,156088.74326263613
2025-09-26,011070,safe_ens_median,1,156088.74326263613
2025-09-26,011170,safe_dl_lstm_v1,1,65562.1451447781
2025-09-26,011170,safe_ens_mean,1,65562.1451447781
2025-09-26,011170,safe_ens_median,1,65562.1451447781
2025-09-26,011200,safe_dl_lstm_v1,1,21302.078475220038
2025-09-26,011200,safe_ens_mean,1,21302.078475220038
2025-09-26,011200,safe_ens_median,1,21302.078475220038
2025-09-26,011210,safe_dl_lstm_v1,1,50898.0745320534
2025-09-26,011210,safe_ens_mean,1,50898.0745320534
2025-09-26,011210,safe_ens_median,1,50898.0745320534
2025-09-26,011780,safe_dl_lstm_v1,1,108048.55824722924
